Número,Título,Temas Relacionados,Textos Bíblicos Base
536,São Dez Os Mandamentos,"Palavra de Deus e Lei | Paz, Cuidado e Confiança",Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1
537,"Sábado, O Dia Mais Feliz",Igreja e Comunhão | Sábado e Criação,Salmos 133:1; Hebreus 10:25 | Êxodo 20:8-11; Gênesis 2:2-3
538,Dia Especial,Sábado e Criação,Êxodo 20:8-11; Gênesis 2:2-3
539,Deus Mandou O Sol Brilhar,Lar e Família | Sábado e Criação,Josué 24:15; Efésios 6:1-4 | Êxodo 20:8-11; Gênesis 2:2-3
540,Quero Bem Alegre Obedecer,Lar e Família,Josué 24:15; Efésios 6:1-4
541,"Cria Em Mim, Ó Deus",Espírito Santo | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | João 14:16-17; Atos 2:1-4
542,"Vem, Ó Jesus",Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
543,É Bom Ter Jesus No Coração,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
544,Entrega Teu Caminho Ao Senhor,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
545,Sou Feliz,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
546,Quero Servir a Jesus,Adoração e Louvor | Lar e Família | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
547,Eu Sei Por Que Nasci,"Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
548,O Milagre Da Vida,Graça e Salvação | Oração e Comunhão | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Êxodo 20:8-11; Gênesis 2:2-3
549,Eu Sou Importante,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
550,Deus Tem Um Plano Pra Mim,"Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
551,Minha Pequenina Luz,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
552,Meus Talentos Vou Usar,"Missão e Serviço | Paz, Cuidado e Confiança",Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
553,Minha Vida É Uma Viagem,Lar e Família | Palavra de Deus e Lei,Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
554,Sou Aventureiro,"Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
555,Um Lugar Feliz É O Céu,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
556,Lá No Céu,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
557,O Céu,"Graça e Salvação | Igreja e Comunhão | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1
558,O Senhor Está Em Seu Templo,Adoração e Louvor,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
559,Sinto A Presença Do Senhor,Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9
560,A Glória da Tua Presença,Adoração e Louvor | Lar e Família,Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
561,Santo Somente É O Senhor,"Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
562,"Santo És, Senhor",Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
563,Sua Glória,"Adoração e Louvor | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
564,Vamos Adorar,Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3
565,Adoração,Adoração e Louvor | Crianças e Jovens | Espírito Santo | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
566,"Oh, Adorai",Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
567,Introito,"Adoração e Louvor | Espírito Santo | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
568,Invocação,Adoração e Louvor | Espírito Santo | Lar e Família | Oração e Comunhão | Sacrifício e Redenção | Sábado e Criação,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3
569,Nosso Maravilhoso Deus,Adoração e Louvor | Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
570,Maravilhoso Deus,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
571,Tu És Digno,Adoração e Louvor | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
572,Ofertório,Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4
573,Venho Te Adorar,Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9
574,Teu É Nosso Coração,Adoração e Louvor | Crianças e Jovens | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Mateus 19:14; Provérbios 22:6 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
575,Entrego A Ti,Adoração e Louvor | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
576,Humildade e Gratidão,Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9
577,Quero Me Entregar,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
578,Humilde Oração,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
579,"Ao Orarmos, Senhor",Espírito Santo | Graça e Salvação | Igreja e Comunhão | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | João 14:16-17; Atos 2:1-4 | Salmos 133:1; Hebreus 10:25
580,Oração de Súplica,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1
581,"Ouve-nos, Senhor","Adoração e Louvor | Paz, Cuidado e Confiança",Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
582,"Pai, Venho A Ti",Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
583,Entregamos Em Tuas Mãos,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
584,Prece de Gratidão,Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
585,"Vem, Espírito Santo","Adoração e Louvor | Espírito Santo | Paz, Cuidado e Confiança",João 14:16-17; Atos 2:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
586,Venham Todos,Graça e Salvação,Efésios 2:8-9; João 3:16; 1 João 1:9
587_A,Chegou a Hora de Adorar ao Senhor - A,Adoração e Louvor | Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
587_B,Chegou a Hora de Adorar ao Senhor - B,Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
588,Deixai Vir a Mim os Pequeninos,Crianças e Jovens,Mateus 19:14; Provérbios 22:6
589,"Fala, Senhor",Graça e Salvação | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9
590,"Queremos Te Pedir, Senhor",Espírito Santo | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | João 14:16-17; Atos 2:1-4
591,Estejas Conosco,Adoração e Louvor | Espírito Santo | Palavra de Deus e Lei,João 14:16-17; Atos 2:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
592,"Graça, Amor e Comunhão",Espírito Santo | Graça e Salvação | Igreja e Comunhão | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Salmos 133:1; Hebreus 10:25
593,"Amigo, Não Saia Sem Cristo","Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
594,Bênção Final,"Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1
595,A Bênção,"Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
596,"Vem, Senhor",Igreja e Comunhão | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 133:1; Hebreus 10:25
597,Santo Lugar,"Adoração e Louvor | Lar e Família | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
598,Que Deus Te Abençoe!,"Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
599,Que O Senhor Nos Abençoe!,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1
600,Em Paz eu Vou,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1
